Name,Game,Team,H/A,Opp_x,AFGM,Min FGM,Max FGM,Med FGM,AFGA,Min FGA,Max FGA,Med FGA,AFG%,Min FG%,Max FG%,Med FG%,A3PM,Min 3PM,Max 3PM,Med 3PM,A3PA,Min 3PA,Max 3PA,Med 3PA,A3P%,Min 3P%,Max 3P%,Med 3P%,ATRB,Min TRB,Max TRB,Med TRB,AAST,Min AST,Max AST,Med AST,ASTL,Min STL,Max STL,Med STL,ABLK,Min BLK,Max BLK,Med BLK,ATOV,Min TOV,Max TOV,Med TOV,APTS,Min PTS,Max PTS,Med PTS,ID,Opp_y,AOFG,AOPF,Min OPF,Max OPF,Med OPF,AOTO,Min OTO,Max OTO,Med OTO,AOBlk,Min OBlk,Max OBlk,Med OBlk,AOStl,Min OStl,Max OStl,Med OStl,AOA,Min OA,Max OA,Med OA,AOTR,Min OTR,Max OTR,Med OTR,AOOR,Min OOR,Max OOR,Med OOR,AO3PM,Min O3PM,Max O3PM,Med O3PM,AO3PT,Min O3PT,Max O3PT,Med O3PT,AOFTM,Min OFTM,Max OFTM,Med OFTM,AOFT,Min OFT,Max OFT,Med OFT,AOFGM,Min OFGM,Max OFGM,Med OFGM,Min OFG,Max OFG,Med OFG,PTS
1,1,8,0,29,10.0,10,10,8.0,17.0,17,17,19.0,0.59,0.59,0.59,0.46,0.0,0,0,3.0,2.0,2,2,8.0,0.0,0.0,0.0,0.33,10.0,10,10,10.0,2.0,2,2,4.0,1.0,1,1,0.0,1.0,1,1,0.0,1.0,1,1,3.0,22.0,22,22,25.0,29,8,40.0,23.0,23,23,23.0,21.0,21,21,21.0,3.0,3,3,3.0,10.0,10,10,10.0,21.0,21,21,21.0,35.0,35,35,35.0,10.0,10,10,10.0,22.0,22,22,22.0,5.0,5,5,5.0,18.0,18,18,18.0,17.0,17,17,17.0,83.0,83,83,83.0,40,40,40.0,22
1,2,8,0,10,7.5,5,10,8.0,14.5,12,17,19.0,0.5,0.42,0.59,0.46,0.0,0,0,3.0,4.0,2,6,8.0,0.0,0.0,0.0,0.33,6.5,3,10,10.0,2.5,2,3,4.0,0.5,0,1,0.0,0.5,0,1,0.0,2.0,1,3,3.0,16.0,10,22,24.5,10,8,43.0,20.0,18,22,20.0,20.5,20,21,20.5,3.0,2,4,3.0,11.0,10,12,11.0,26.5,23,30,26.5,44.5,41,48,44.5,10.5,9,12,10.5,37.0,34,40,37.0,12.5,10,15,12.5,25.0,25,25,25.0,20.0,19,21,20.0,90.0,86,94,90.0,40,46,43.0,10
1,3,8,1,21,6.0,3,10,8.0,12.67,9,17,19.0,0.45,0.33,0.59,0.46,0.33,0,1,3.0,3.67,2,6,8.0,0.11,0.0,0.33,0.33,7.67,3,10,10.0,2.33,2,3,4.0,0.33,0,1,0.0,1.0,0,2,0.0,2.0,1,3,3.0,14.33,10,22,24.0,21,18,42.33,19.67,17,21,21.0,15.67,14,18,15.0,4.67,3,6,5.0,6.67,5,9,6.0,27.33,24,33,25.0,51.67,46,55,54.0,11.67,9,14,12.0,36.67,34,38,38.0,13.33,10,20,10.0,28.67,22,33,31.0,19.67,14,27,18.0,89.0,85,94,88.0,39,46,42.0,11
1,4,8,0,25,7.5,3,12,8.0,13.5,9,17,19.0,0.52,0.33,0.75,0.46,0.25,0,1,3.0,3.25,2,6,8.0,0.08,0.0,0.33,0.33,7.25,3,10,10.0,2.0,1,3,4.0,0.25,0,1,0.0,0.75,0,2,0.0,1.75,1,3,3.0,17.25,10,26,24.5,25,8,42.0,26.5,24,29,26.5,13.0,8,16,14.0,4.0,1,9,3.0,8.75,4,14,8.5,28.0,26,31,27.5,40.0,38,41,40.5,8.25,4,10,9.5,33.75,27,44,32.0,11.25,6,17,11.0,18.5,14,21,19.5,13.0,8,16,14.0,90.5,85,94,91.5,39,45,42.0,26
1,5,8,1,14,6.4,2,12,8.0,12.4,8,17,19.0,0.47,0.25,0.75,0.46,0.2,0,1,3.0,3.2,2,6,8.0,0.07,0.0,0.33,0.33,7.6,3,10,10.0,2.6,1,5,4.0,0.2,0,1,0.0,1.0,0,2,0.0,1.4,0,3,3.0,15.0,6,26,24.0,14,18,40.4,21.0,17,24,21.0,16.0,10,22,18.0,5.8,4,8,5.0,9.8,6,13,11.0,25.8,18,34,27.0,52.2,48,58,52.0,11.4,9,14,11.0,35.0,27,45,34.0,11.4,9,16,10.0,25.2,21,31,24.0,18.4,16,22,17.0,90.8,80,99,92.0,37,45,41.0,6
1,6,8,1,29,5.5,1,12,8.0,11.0,4,17,19.0,0.43,0.25,0.75,0.45,0.33,0,1,3.0,3.17,2,6,8.0,0.11,0.0,0.33,0.33,6.5,1,10,10.0,2.17,0,5,4.0,0.17,0,1,0.0,1.17,0,2,0.0,1.5,0,3,3.0,13.0,3,26,24.0,29,8,41.67,22.5,18,30,22.0,17.33,12,21,18.0,4.83,2,7,5.0,6.5,2,10,7.0,20.83,17,30,19.5,49.0,35,60,48.0,15.5,10,21,15.5,32.33,22,40,34.0,10.5,5,17,11.0,25.5,18,34,23.5,19.67,17,27,17.5,93.5,83,107,92.0,36,49,39.5,3
1,7,8,0,14,5.71,1,12,8.0,11.0,4,17,19.0,0.46,0.25,0.75,0.46,0.71,0,3,3.0,3.29,2,6,8.0,0.2,0.0,0.75,0.33,6.43,1,10,10.0,1.86,0,5,4.0,0.14,0,1,0.0,1.29,0,2,0.0,1.43,0,3,3.0,13.71,3,26,24.0,14,19,41.43,20.0,15,24,20.0,14.57,9,22,13.0,6.0,4,8,5.0,8.86,3,13,10.0,26.86,18,35,27.0,51.43,48,58,51.0,11.57,9,14,11.0,34.29,25,45,34.0,11.43,8,16,10.0,23.57,18,31,23.0,17.14,13,22,17.0,93.14,80,102,96.0,37,47,41.0,18
1,8,8,0,21,6.25,1,12,8.0,11.25,4,17,19.0,0.5,0.25,0.77,0.45,1.0,0,3,3.0,3.38,2,6,8.0,0.27,0.0,0.75,0.33,6.25,1,10,10.0,2.0,0,5,4.0,0.25,0,1,0.0,1.12,0,2,0.0,1.25,0,3,3.0,15.38,3,27,24.0,21,8,41.0,19.12,14,30,17.5,17.75,14,24,18.0,6.25,2,14,5.0,6.38,5,9,6.0,24.12,17,33,22.5,48.88,44,55,48.0,10.5,7,14,11.0,33.62,28,40,32.5,11.88,8,20,10.0,24.0,16,34,21.0,18.38,13,27,16.0,87.25,82,95,86.0,35,46,40.5,27
1,9,8,1,26,6.0,1,12,8.0,10.67,4,17,19.0,0.52,0.25,0.77,0.45,0.89,0,3,3.0,3.11,1,6,8.0,0.24,0.0,0.75,0.33,6.22,1,10,10.0,2.0,0,5,4.0,0.22,0,1,0.0,1.0,0,2,0.0,1.11,0,3,3.0,14.56,3,27,24.0,26,13,45.78,21.11,15,34,19.0,13.89,11,16,15.0,5.89,3,10,6.0,9.22,6,16,8.0,27.0,20,37,26.0,43.78,30,51,44.0,10.33,0,16,12.0,31.33,27,35,31.0,11.56,4,20,11.0,21.56,16,28,22.0,17.56,10,22,20.0,92.44,80,106,94.0,37,57,47.0,8
1,10,8,0,26,5.7,1,12,8.0,10.1,4,17,19.0,0.53,0.25,0.77,0.45,0.8,0,3,3.0,2.9,1,6,8.0,0.22,0.0,0.75,0.33,6.1,1,10,10.0,2.3,0,5,4.0,0.6,0,4,0.0,1.0,0,2,0.0,1.0,0,3,3.0,14.0,3,27,24.0,26,8,46.5,20.5,15,34,19.0,14.1,11,16,15.5,5.3,0,10,5.5,9.3,6,16,8.5,28.0,20,37,26.0,44.1,30,51,44.5,10.3,0,16,11.0,31.1,27,35,31.0,11.9,4,20,12.0,20.4,10,28,21.0,16.3,5,22,17.5,91.9,80,106,90.5,37,57,47.5,9
